eLrH,eHrL
1.0289341,1.2383137
1.0119596,1.5274839
1.0277848,1.3405356
0.9953143,1.5420754
0.9018623,1.4283944
1.0186635,1.3304655
1.0079383,1.2357616
0.8519737,1.3837177
0.7253302,1.1238159
0.93404,1.361257
0.960516,1.4488611
1.0080086,1.2371062
0.9180875,1.3700593
0.9355534,1.4223887
0.8979453,1.2801618
0.7457365,1.2278932
1.1039437,1.3241098
1.0814961,1.6549758
1.0133949,1.2778331
0.9469415,1.1452723
1.0118422,1.3391632
0.8265619,1.3391422
1.0923118,1.1261824
0.9930234,1.4552056
0.8510022,1.3887692
0.816533,1.3426287
1.011216,1.3120821
1.1013535,1.1272753
0.836013,1.3956566
1.0664178,0.9653555
1.023839,1.468719
0.9866605,1.1084322
0.8975608,1.2562174
0.8966485,0.9733692
0.8884628,1.2571967
0.7733026,1.5222385
0.8798254,1.4323849
0.8631247,1.5014814
0.8838606,1.4386611
0.7809755,1.4623434
1.1312808,1.3843153
1.0538289,1.2160543
0.9985481,1.4035737
0.9871791,1.2606099
0.8933096,1.4533067
1.0016323,1.3155373
0.8194032,1.0913472
0.8999452,1.256757
0.8938606,1.3295722
1.0202004,1.3027573
1.107371,1.5257267
1.2202111,1.6429985
0.8430529,1.4558977
1.1992455,1.5721625
0.9315009,1.3932518
0.871049,1.4366865
1.0650689,1.6014891
0.8879225,1.4910482
1.0224663,1.376965
0.9107824,1.4674505
0.8205727,1.3743213
0.9982474,1.6962591
0.8191141,1.2446948
0.9768391,1.3667541
0.726936,1.3926008
0.956708,1.4546714
0.9305501,1.3553267
0.9383115,1.327667
1.0828406,1.1392746
0.8875382,1.4951436
0.9365714,1.2365312
0.9380283,1.3328627
0.8808147,1.5357389
0.8937769,1.2955177
1.0457963,1.2807443
0.884594,1.3363854
0.9364942,1.3181688
0.9871641,1.5323498
1.0749303,1.2295474
0.7615565,1.1850742
0.9663409,1.1276508
1.0083024,1.2851629
0.9900822,1.5294594
0.9649238,1.426174
0.8308671,1.2920288
0.9452843,1.446968
0.946211,1.2777089
0.9123303,1.708084
0.8631514,1.339251
0.9260105,1.2416064
0.8368012,1.4090197
1.0004905,1.2526442
0.908475,1.4866204
0.9886232,1.2636147
0.9283574,1.3879907
0.7829707,1.2803769
0.7887078,1.3761805
1.0033575,1.2615231
0.8999253,1.5138401
0.7997341,1.2446472
0.9294303,1.4443469
0.8843422,1.2506484
0.9727311,1.4129247
0.8461055,1.3256712
0.9816954,1.2295601
0.9949134,1.3512649
1.0071691,1.2217378
0.81934,1.3056623
1.1255188,1.3423134
0.9807796,1.3373275
0.9569393,1.3567504
0.9355434,1.2789956
0.8196012,1.1280284
1.0129284,1.4517863
1.0058045,1.3180252
0.988572,1.2505177
0.9745896,1.3149561
0.8592209,1.3528995
0.7941038,1.3119153
0.9336015,1.4646303
0.8521374,1.6597912
1.0792122,1.3162162
1.0926106,1.0837508
0.8651178,1.4183295
0.9107625,1.5338453
0.9546762,0.8714737
1.0297152,1.1583253
0.9735512,1.5386687
1.0160238,1.0209317
0.8240778,1.3887802
1.0043592,1.4613961
1.1240213,1.3228491
0.9179637,1.3472147
0.9434489,1.5684386
1.0491347,1.2836009
1.0138515,1.3385077
0.8239363,1.3966447
0.8773656,1.1753052
0.901071,1.2847388
0.9557192,1.3010614
1.0132311,1.459766
0.9142963,1.4691802
0.8786933,1.6355608
1.0192926,1.1961716
0.8997227,1.5160703
0.9805645,1.3508291
0.9131771,1.4423992
0.7760899,1.247045
0.8718004,1.3378366
0.9580685,1.4597619
0.9605005,1.4092776
0.8632558,1.668714
0.8948368,1.4959285
0.8406599,1.3564931
0.9228102,1.4780012
0.9106898,1.3378188
0.922398,1.2516465
0.8669618,1.5062318
0.9574464,1.3770891
0.8998256,1.4334509
0.8910016,1.3036444
0.9552635,1.1932035
1.0962899,1.2507912
0.7900278,1.4429377
0.8976495,1.2151596
0.9461333,1.3874074
0.9450237,1.3290149
0.9294531,1.3595749
0.8217086,1.2430202
0.8653314,1.3926984
1.0171832,1.3859174
0.9285168,1.6969604
1.1064154,1.5089023
0.8536843,1.1620987
0.9731592,1.3835306
1.020308,1.2865333
0.9224306,1.1552578
0.7678121,1.366425
0.8689776,1.2848321
0.8215526,1.4535994
0.9569339,1.4506821
1.0842482,1.2913191
1.0709892,1.3283524
0.9884967,1.3268497
0.872162,1.1806406
0.8291092,1.3928939
0.9159825,1.4618893
1.0277888,1.2984792
0.9124021,1.3654105
0.9618696,1.286456
0.7930584,1.700451
0.9827235,1.6393504
0.896686,1.3589842
0.8531884,1.366444
0.868298,1.3698467
0.9589218,1.3706482
1.1006015,1.2223895
0.8822839,1.3997543
1.0195108,1.2512912
0.9017105,1.5261959
1.1779795,1.4587025
0.8379011,1.3502417
0.9002417,1.4581078
0.9674277,1.6382208
1.1228461,1.2531354
0.9749421,1.0546113
1.0343874,1.2079638
1.1698607,1.1671461
1.0319707,1.3875079
0.9529693,1.115874
0.9207242,1.1997154
1.0587449,1.4800286
0.8115774,1.3110697
0.8304019,0.9504091
1.0239128,1.3556354
0.8041816,1.4615695
1.0554801,1.3267901
1.0186418,1.2514568
1.0150093,1.0110793
0.9055577,1.614568
1.2514735,1.3985101
1.049897,1.5700436
0.9003903,1.5162764
0.8922037,1.2590023
1.0467881,1.3570587
0.8615191,1.333905
0.9737326,1.2948025
1.0494311,1.4628811
0.7900838,1.3394342
0.9773807,1.51771
1.0474826,1.2964251
1.0282293,1.0783898
0.9678892,1.5758325
0.8874792,1.4834975
1.0078048,1.3347141
0.9376136,1.2212091
0.9546654,1.2594517
0.9464501,1.3256792
0.9502399,1.3171715
1.0299111,1.463035
0.9004877,1.5427025
0.8129427,1.3819308
1.0298322,1.2807191
0.9327908,1.3147742
0.9231818,1.2427245
1.0181756,1.3055815
0.9579625,1.5809908
1.0316637,1.1433117
1.0235324,1.1945288
0.9610117,1.5463789
0.844422,1.4574541
0.9394158,1.4336068
0.9189904,1.1574785
0.88992,1.4053745
0.9225607,1.4706508
0.8939531,1.3269156
1.1103676,1.3332749
1.1160818,1.439995
0.9634822,1.2827345
0.7783646,1.1492084
0.6883051,1.4486794
0.8202185,1.3901261
1.1475333,1.4891936
0.8312875,1.1704436
0.9626278,1.4148143
0.8463287,1.0400653
1.049895,1.4392688
0.9432,1.2146833
0.8684012,1.273549
0.9491787,1.2787377
0.8667342,1.3022452
0.8925459,1.4676729
1.0944765,1.0878673
1.0366073,1.4498753
0.9742106,1.1971298
0.9752376,1.2096738
0.94823,1.332055
0.9514871,1.449078
0.9693392,1.3009303
0.9783588,1.4418456
1.0240332,1.3191141
1.0502821,1.2496301
0.8394195,1.2822045
1.001473,1.3951236
0.8642646,1.7597371
0.7893636,1.3852619
0.9426185,1.2020432
1.0232572,1.2303144
0.773898,1.56612
0.8726326,1.3707702
0.7907288,1.4461043
0.8808492,1.0544381
0.908262,1.2048749
0.9563649,1.3417475
0.9936494,1.3050363
0.9178452,1.2369976
0.8842976,1.444839
0.9707121,1.5431088
0.9436994,1.2130135
1.0616455,1.4381277
1.0306999,1.5263844
0.9179647,1.334969
1.055414,1.5825296
1.1400585,1.4243735
0.9929227,1.399628
1.0226598,1.6171937
0.9244979,1.311364
0.9937494,1.472533
1.0191257,1.3119976
0.9773572,1.6545826
0.8730895,1.282473
0.8772748,1.5633045
0.9503993,1.4701622
1.0559606,1.2320262
0.7949111,1.4755427
0.9834361,1.3904655
0.9367796,1.2781098
0.9261091,1.1881986
0.9831024,1.2589617
0.9355431,1.1743345
0.9249923,1.3126494
0.7857079,1.3306798
1.1349893,1.5147758
0.9553472,1.3846378
1.0864686,1.4738757
0.8483338,1.323684
0.9270596,1.6449783
1.0223666,1.3745446
1.0159325,1.3090549
0.9214953,1.5546568
0.8321782,1.5947512
0.8020974,1.6327493
0.959044,1.4955988
0.7143949,1.2818883
0.8165245,1.7313443
0.9467899,1.2485737
1.0303612,1.3070403
0.8821149,1.3586871
1.0005533,1.3795463
0.9981468,1.3451536
0.9126136,1.239507
0.990994,1.3809808
0.9263172,1.4021806
0.9958486,1.1222184
0.9359781,1.0102018
0.9894909,1.364354
0.7368593,1.3566948
0.8516695,1.3465759
0.7322617,1.2672388
0.8637599,1.1489865
0.9408121,1.4733002
0.9447524,1.479554
0.935421,1.3261176
0.9905933,1.3619665
0.9805243,1.2162588
0.9791992,1.2222238
1.0511901,1.3837787
0.8705448,1.5458981
0.9224445,1.1752153
0.940553,1.3973998
1.0074458,1.4095761
0.9031531,1.4603952
0.648274,1.2292475
0.8259718,1.1604283
0.8749454,1.2766593
0.8634585,1.521631
1.0069779,1.2824574
0.9928831,1.0977936
0.8919378,1.229127
1.0173587,1.3176022
0.9003081,1.3158018
1.1060684,1.6514443
0.8464361,1.1813462
1.0222316,1.3644895
0.800835,1.3025756
0.9688956,1.3209469
0.6906759,1.2909176
1.0678445,1.5434872
0.717601,1.4308481
1.0183726,1.1258581
0.9559306,1.440047
0.9490726,1.0121313
1.0794655,1.2597846
