site,subsite,density_trt,individual_id,touch_raw,touch_spp,operc_length_initial_mm,died_yn,operc_length_final_mm,date_initial,date_final,day_elapsed,exclude,notes
CC,CC1,H,1,224,B,4.1,,,5/27/2017,,,,
CC,CC1,H,2,155,B,3.54,,,5/27/2017,,,,
CC,CC1,H,3,92,B,3.15,,,5/27/2017,,,,
CC,CC1,H,4,235,B,3.7,,,5/27/2017,,,,
CC,CC1,H,5,0,,1.72,,,5/27/2017,,,,
CC,CC1,H,6,87,C,3.81,,,5/27/2017,,,,
CC,CC1,H,7,94,B,3.11,,,5/27/2017,,,exclude,can't tell
CC,CC1,H,8,196,B,3.47,,,5/27/2017,,,,
CC,CC1,H,9,215,B,1.63,,,5/27/2017,,,,
CC,CC1,H,10,65,C,3.32,,,5/27/2017,,,,
CC,CC1,H,11,70,B,3.35,,,5/27/2017,,,exclude,can't tell
CC,CC1,H,12,122,B,3.99,,,5/27/2017,,,,
CC,CC1,H,13,210,B,4.29,,,5/27/2017,,,,
CC,CC1,H,14,62,B,3.29,,,5/27/2017,,,,
CC,CC1,H,15,72,B,3,,,5/27/2017,,,exclude,can't tell
CC,CC1,L,1,0,,3.95,,,5/27/2017,,,,
CC,CC1,L,2,0,,3.65,,,5/27/2017,,,,
CC,CC1,L,3,0,,2.88,,,5/27/2017,,,,
CC,CC1,L,4,71,C,2.04,,,5/27/2017,,,,
CC,CC1,L,5,0,,0.54,,,5/27/2017,,,,
CC,CC1,L,6,100,B,2.6,,,5/27/2017,,,,
CC,CC1,L,7,,,,,,,,,exclude,"unclear, don't use"
CC,CC1,L,8,0,,1.14,,,5/27/2017,,,,
CC,CC1,L,9,0,,0.77,,,5/27/2017,,,,
CC,CC1,L,10,0,,3.04,,,5/27/2017,,,,
CC,CC1,L,11,85,B,2.61,,,5/27/2017,,,,
CC,CC2,H,1,40,B,1.75,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,2,67,C,2.24,N,2.777,5/27/2017,5/1/2018,339,,
CC,CC2,H,3,122,C,3.41,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,4,32,C,2.21,N,2.865,5/27/2017,5/1/2018,339,,
CC,CC2,H,5,77,C,2.66,,,5/27/2017,5/1/2018,339,exclude,
CC,CC2,H,6,0,,2.22,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,7,59,B,1.64,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,8,11,C,2.47,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,9,81,C,2.31,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,10,103,B,2.53,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,11,121,B,2.4,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,12,34,C,1.61,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,13,73,C,2.19,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,14,31,C,2.59,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,15,25,B,2.28,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,16,85,C,2.14,N,3.117,5/27/2017,5/1/2018,339,,
CC,CC2,H,17,40,C,1.49,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,18,113,B,2.15,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,19,61,B,2.81,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,20,65,B,2.53,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,21,39,C,2.1,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,22,30,C,1.91,,,5/27/2017,5/1/2018,339,exclude,
CC,CC2,H,23,89,B,2.29,N,2.852,5/27/2017,5/1/2018,339,,
CC,CC2,H,24,49,B,2.85,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,25,0,,1.66,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,26,30,C,2,N,2.753,5/27/2017,5/1/2018,339,,
CC,CC2,H,27,198,B,2.4,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,28,190,B,2.77,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,29,69,C,2.63,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,30,26,B,2.31,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,31,0,,1.448,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,32,0,,1.617,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,33,140,B,1.936,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,34,141,B,1.783,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,H,35,38,B,1.434,Y,,5/27/2017,5/1/2018,339,,
CC,CC2,L,1,0,,1.75,,,5/27/2017,,,,
CC,CC2,L,2,0,,1.92,,,5/27/2017,,,,
CC,CC2,L,3,0,,3.03,,,5/27/2017,,,,
CC,CC2,L,4,44,C,1.62,,,5/27/2017,,,,
CC,CC2,L,5,0,,1.83,,,5/27/2017,,,,
CC,CC2,L,6,0,,1.8,,,5/27/2017,,,,
CC,CC2,L,7,0,,1.12,,,5/27/2017,,,,
CC,CC2,L,8,0,,1.08,,,5/27/2017,,,,
CC,CC2,L,9,0,,2.16,,,5/27/2017,,,,
CC,CC2,L,10,36,C,2.13,,,5/27/2017,,,,
CC,CC2,L,11,70,C,2.03,,,5/27/2017,,,,
CC,CC2,L,12,54,C,1.97,,,5/27/2017,,,,
CC,CC2,L,13,0,,1.86,,,5/27/2017,,,,
CC,CC2,L,14,16,C,2.86,,,5/27/2017,,,,
CC,CC2,L,15,0,,1.72,,,5/27/2017,,,,
CC,CC2,L,16,0,,1.96,,,5/27/2017,,,,
CC,CC2,L,17,0,,2.07,,,5/27/2017,,,,
CP,CP1,H,1,129,B,2.893,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,2,146,B,3.495,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,3,360,B,3.318,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,4,97,B,2.906,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,5,268,B,2.697,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,6,360,B,3.288,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,7,360,B,2.553,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,8,192,B,2.39,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,9,300,B,2.518,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,10,304,B,3.579,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,11,245,B,4.282,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,12,360,B,2.294,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,13,360,B,3.728,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,14,360,B,4.902,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,15,360,B,3.595,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,16,360,B,2.773,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,17,276,B,2.989,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,18,360,B,3.814,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,19,360,B,3.181,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,20,310,B,3.718,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,21,360,B,2.438,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,22,141,B,2.973,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,23,313,B,4.608,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,24,360,B,3.233,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,25,360,B,3.833,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,26,360,B,3.565,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,27,360,B,2.506,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,28,360,B,4.194,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,29,360,B,3.212,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,30,310,B,3.818,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,31,360,B,3.363,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,32,360,B,2.422,,,6/12/2017,5/2/2018,324,,
CP,CP1,H,33,360,B,5.067,,,6/12/2017,5/2/2018,324,,
CP,CP1,L,1,145,B,3.809,,,6/12/2017,,,,
CP,CP1,L,2,67,B,4.004,,,6/12/2017,,,,
CP,CP1,L,3,0,,3.76,,,6/12/2017,,,,
CP,CP1,L,4,0,,3.6,,,6/12/2017,,,,
CP,CP1,L,5,0,,3.395,,,6/12/2017,,,,
CP,CP1,L,6,36,B,4.423,,,6/12/2017,,,,
CP,CP1,L,7,0,,3.096,,,6/12/2017,,,,
CP,CP1,L,8,0,,2.762,,,6/12/2017,,,,
CP,CP1,L,9,0,,2.529,,,6/12/2017,,,,
CP,CP1,L,10,0,,3.761,,,6/12/2017,,,,
CP,CP1,L,11,0,,3.088,,,6/12/2017,,,,
CP,CP1,L,12,0,,3.224,,,6/12/2017,,,,
CP,CP1,M,1,80,B,3.01,,,6/12/2017,,,exclude,out of frame
CP,CP1,M,2,103,B,2.868,,,6/12/2017,,,exclude,out of frame
