site,subsite,touch_raw,basal_diameter_mm,height_mm,yolky_yn,wboat1_id,wboat1_and_shell_g,wboat2_id,wboat2_and_somagonad_g,wboat3_id,wboat3_and_gonad_g,notes
CC,CC1,79,9.59,5.73,Y,42,0.6577,43,0.5707,44,0.6208,
CC,CC1,9,6.93,3,N,45,0.6688,46,0.6251,,,
CC,CC1,135,9.37,4.66,Y,47,0.8674,48,0.6786,49,0.7426,
CC,CC1,1,10.34,5.37,Y,50,0.8461,51,0.6437,52,0.6831,
CC,CC1,126,8.31,7.23,Y,53,0.9688,54,0.621,55,0.6363,
CC,CC1,162,3.13,4.1,Y,56,0.9358,57,0.5636,58,0.6536,
CC,CC1,55,12.09,6.31,Y,59,1.0224,60,0.6754,61,0.6599,
CC,CC1,0,7.78,3.26,N,62,0.6835,63,0.4737,,,
CC,CC1,54,8.53,3.56,N,64,0.5681,65,0.4697,,,
CC,CC1,83,8,5.46,N,66,0.5577,67,0.4806,,,fly maggot found
CC,CC2,21,8.16,3.57,Y,249,0.7651,250,0.6173,251,0.5818,
CC,CC2,0,7.83,4.56,N,252,0.8015,1,,,,
CC,CC2,62,6.6,3.34,N,2,0.5868,3,0.5258,,,
CC,CC2,21,7.39,3.93,N,4,0.6051,5,0.5438,,,
CC,CC2,44,7.61,3.18,N,6,0.6249,7,0.5294,,,
CC,CC2,229,6,3.24,N,8,0.5699,9,0.5428,,,
CC,CC2,65,6.9,2.67,N,10,0.5622,11,0.5305,,,
CC,CC2,206,4.18,1.58,N,12,0.5372,13,0.5282,,,
CC,CC2,107,5.67,2.89,N,14,0.5683,15,0.5381,,,
CC,CC2,73,5.95,2.8,N,16,0.5633,17,0.5508,,,
CP,CP1,44,12.97,7.01,Y,149,1.0881,150,0.7038,151,0.6004,
CP,CP1,34,7.28,3.65,N,152,0.6803,153,0.7158,,,
CP,CP1,32,7.13,3.64,N,154,0.6211,155,0.7179,,,
CP,CP1,0,4.75,2.18,N,156,0.6666,157,0.699,,,
CP,CP1,53,7.41,4.09,N,158,0.7415,159,0.6319,,,
CP,CP1,83,7.16,4.2,Y,160,0.7647,161,0.5461,162,0.6621,
CP,CP1,63,5.03,3.32,N,163,0.6652,164,0.6538,,,
CP,CP1,137,6.71,3.84,N,165,0.7695,166,0.5476,,,
CP,CP1,360,4.64,5.56,N,167,0.6615,168,0.6442,,,
CP,CP1,360,4.3,4.4,N,169,0.6028,170,0.6866,,,
CP,CP1,182,6.45,3.2,N,171,0.6749,172,0.5936,,,
CP,CP2,27,4.68,2.38,N,173,0.5406,174,0.5218,,,
CP,CP2,49,6.02,2.48,N,175,0.544,176,0.5909,,,
CP,CP2,75,4.46,3.02,N,177,0.6639,178,0.5574,,,
CP,CP2,0,5.04,3.24,N,179,0.5848,180,0.6141,,,
CP,CP2,0,4.54,2.27,N,181,0.6027,182,0.6711,,,
CP,CP2,123,4.12,2,N,183,0.5866,184,0.6578,,,
CP,CP2,360,4.37,2.64,N,185,0.6409,186,0.6378,,,
CP,CP2,95,5.11,2.94,N,187,0.6303,188,0.5566,,,
CP,CP2,126,5.07,2.01,N,203,0.5445,test12,0.5376,,,
CP,CP2,126,4.77,2.55,N,test11,0.604,test10,0.5389,,,
CP,CP3,0,5.59,3.13,N,219,0.5739,220,0.5746,,,
CP,CP3,138,6.78,3.32,Y,221,0.5978,222,0.5449,223,0.5483,
CP,CP3,15,8.45,6.13,N,224,0.6651,225,0.5314,,,
CP,CP3,84,8.21,5.53,Y,226,0.6941,227,0.4807,228,0.4736,
CP,CP3,1,5.62,3.15,N,229,0.588,230,0.5311,,,
CP,CP3,42,10.17,5.71,Y,231,0.8791,232,0.5348,233,0.5329,
CP,CP3,133,9.47,5.46,Y,234,0.7528,235,0.5334,236,0.5371,
CP,CP3,360,6.86,7.25,Y,237,0.7184,238,0.5439,239,0.7339,fly maggot found
CP,CP3,360,6.48,6.76,Y,240,0.7308,241,0.605,242,0.6584,
CP,CP3,80,7,4.76,N,243,0.835,244,0.6742,,,
CP,CP3,360,4.67,2.76,N,245,0.5647,246,0.5261,,,
CP,CP3,180,5.2,3.35,N,247,0.6375,248,0.6157,,,
FH,FH1,23,12.17,6.39,Y,18,0.9128,19,0.5479,20,0.5538,
FH,FH1,35,8.48,3.79,N,21,0.6568,22,0.555,,,
FH,FH1,0,7.09,3.39,N,23,0.6035,24,0.5487,,,
FH,FH1,179,9.14,3.95,Y,25,0.6635,26,0.5431,27,0.5344,
FH,FH1,147,9.43,5.32,N,28,0.6595,29,0.5349,,,
FH,FH1,212,5.23,3.44,N,30,0.5603,31,0.5309,,,
FH,FH1,247,5.02,5.15,N,32,0.6039,33,0.5287,,,
FH,FH1,265,9,3.9,Y,34,0.6796,35,0.5311,36,0.5316,
FH,FH1,89,7.18,6.1,Y,37,0.6945,38,0.5263,39,0.5333,
FH,FH1,94,11.02,5.53,Y,40,0.7718,41,0.5347,,,
FH,FH2,54,8.87,4.41,N,68,0.6218,69,0.4856,,,
FH,FH2,0,8.22,3.48,N,70,0.5558,71,0.7498,,,
FH,FH2,66,12.43,5.84,Y,72,0.8773,73,0.4815,74,0.6548,
FH,FH2,44,9.12,3.38,N,75,0.7737,76,0.6359,,,
FH,FH2,39,10.88,6.08,Y,77,0.9516,78,0.6642,79,0.5582,
FH,FH2,190,9.7,5.01,Y,80,0.8488,81,0.6241,82,0.6123,
FH,FH2,164,9.38,4.08,Y,85,0.7665,84,0.5734,83,0.4686,
FH,FH2,268,7.09,4.98,Y,86,0.852,87,0.6921,88,0.6978,
FH,FH2,127,7.39,3.6,N,89,0.7444,90,0.7153,,,
FH,FH2,137,6.78,4.69,Y,91,0.5546,92,0.4567,93,0.4716,
FH,FH2,129,5.99,3.65,N,,,,,,,
RT,RT1,0,10.28,6.79,N,189,0.8584,190,0.697,,,
RT,RT1,0,8.32,3.43,N,191,0.8639,192,0.6358,,,
RT,RT1,153,12.71,6.38,Y,193,1.0515,194,0.7205,195,0.6655,
RT,RT1,24,7.11,2.96,N,196,0.7329,197,0.6183,,,
RT,RT1,1,10.9,5.69,Y,198,0.8947,199,0.6492,200,0.6581,
RT,RT1,0,8.89,3.79,N,201,0.6356,202,0.53,,,
RT,RT1,83,8.93,5.45,Y,204,0.7272,205,0.5272,206,0.5351,
RT,RT1,180,5.27,2.8,N,207,0.5565,208,0.8297,,,
RT,RT1,158,12.14,7.89,Y,209,1.0234,210,0.543,211,0.5409,
RT,RT1,57,11.03,4.44,Y,212,0.748,213,0.5324,214,0.5334,
RT,RT1,98,3.36,2.57,N,215,0.55,216,0.5422,,,
RT,RT1,0,6.26,3.37,N,217,0.5886,218,0.5428,,,
