operculum_length_mm,basal_diameter_mm,height_mm
3.48,8.2,5.59
4.34,8.79,5.93
3.17,7.07,5.53
3.21,8.44,4.45
3.67,7.8,5.08
5.34,12.71,7.06
2.91,6.53,3.51
2.64,7.64,3.36
3.42,9.5,5.25
2.35,7.3,3.36
4.37,7.23,6.19
3.26,6.99,4.82
3.28,5.31,5.04
3.23,9.24,4.27
3.67,8.5,5.59
3.08,7.08,3.72
3.35,9.36,4.93
1.92,7.42,3.53
4.9,9.31,6.01
3.19,6.16,4.79
3.21,6.92,4.25
2.26,5.3,3.32
4.5,11.01,6.15
4.35,12.12,7.11
3.07,8.98,4.22
2.75,8.16,3.28
1.87,4.91,2.26
4.53,8.37,7.4
3.68,7.79,5.33
2.74,8.16,3.46
1.6,4.84,2.93
4.16,10.98,6.46
5.41,13,7.31
3.41,5.51,3.62
3.48,6.38,5.21
3.61,7.38,4.95
2.96,11.27,5.21
3.23,5.73,7.23
3.7,6.76,6.29
3.75,8.12,5.16
2.65,8.71,3.96
3.64,8.51,5.89
3.27,8.83,4.93
4.04,6.59,5.51
2.4,8.51,3.91
4.47,7.72,7.31
2.94,8.2,5.23
1.66,5.03,2.7
4.24,12.3,8.2
3.23,7.98,6.9
1.4,3.55,2.5
4.58,11.3,6.24
2.14,4.88,4.95
3.87,9.06,7.65
1.69,5.66,2.8
4.28,8.3,6.8
3.87,11.24,6.42
3.72,6.92,6.4
3.31,5.94,6.63
2.27,6.2,5.8
3.41,7.57,4.76
3.02,5.16,4.02
2.44,5.29,3.34
3.81,7.05,6.61
4.58,12.62,6.31
1.48,5.17,2.33
2.4,5.67,3.68
3.38,7.21,3.26
3.03,6.74,4
4.02,8.3,3.98
3,5.93,3.03
2.7,6.38,4.31
2.31,4.96,5.7
2.16,7.13,3.56
3,7.92,4.18
2.39,7.04,3.49
2.48,7.18,3.38
2.43,6.31,4.53
3.87,12.06,5.79
2.94,5.54,4.88
2.85,5.87,4.41
2.57,7.46,4.14
4.36,8.82,6.93
2.9,7.91,3.96
3.06,7.59,4.87
3.99,7.84,5.23
2.91,6.6,3.77
2.33,6.17,3.47
3.52,8.42,4.24
4.16,11.15,5.31
1.79,5.44,3.06
3.2,7.08,5.38
3.09,7.58,4.96
2.6,5.9,3.93
4.26,9.16,7.05
2.56,5.36,3.48
2.6,5.41,4.45
3.4,7.42,4.64
2.44,8.01,4.67
2.85,6.23,5.24
